1a|Hwæt! wē Gār-Dena
1818a|"Nū wē sǣ‐līðend
1818b|secgan wyllað
1819a|feorran cumene,
1819b|þæt wē fundiað
1820a|Higelāc sēcan.
1820b|Wǣron hēr tela
1821a|willum bewenede;
1821b|þū ūs wēl dohtest.
1822a|Gif ic þonne on eorðan
1822b|ōwihte mæg
1823a|þīnre mōd‐lufan
1823b|māran tilian,
1824a|gumena dryhten,
1824b|þonne ic gȳt dyde,
1825a|gūð‐geweorca
1825b|ic bēo gearo sōna.
1826a|Gif ic þæt gefricge
1826b|ofer flōda begang,
1827a|þæt þec ymbe‐sittend
1827b|egesan þȳwað,
1828a|swā þec hetende
1828b|hwīlum dydon,
1829a|ic þē þūsenda
1829b|þegna bringe,
1830a|hæleða tō helpe.
1830b|Ic on Higelāce wāt,
1831a|Gēata dryhten,
1831b|þēah þe hē geong sȳ,
1832a|folces hyrde,
1832b|þæt hē mec fremman wile
1833a|wordum and worcum,
1833b|þæt ic þē wēl herige,
1834a|and þē tō gēoce
1834b|gār‐holt bere
1835a|mægenes fultum,
1835b|þǣr þē bið manna þearf;
1836a|gif him þonne Hrēðrīc
1836b|tō hofum Gēata
1837a|geþingeð, þēodnes bearn,
1837b|hē mæg þǣr fela
1838a|frēonda findan:
1838b|feor‐cȳððe bēoð
1839a|sēlran gesōhte
1839b|þǣm þe him selfa dēah."
1840a|Hrōðgār maðelode
1840b|him on andsware:
1841a|"Þē þā word‐cwydas
1841b|wittig drihten
1842a|on sefan sende!
1842b|ne hȳrde ic snotorlīcor
1843a|on swā geongum feore
1843b|guman þingian:
1844a|þū eart mægenes strang
1844b|and on mōde frōd,
1845a|wīs word‐cwida.
1845b|Wēn ic talige,
1846a|gif þæt gegangeð,
1846b|þæt þe gār nymeð,
1847a|hild heoru‐grimme
1847b|Hrēðles eaferan,
1848a|ādl oððe īren
1848b|ealdor þīnne,
1849a|folces hyrde,
1849b|and þū þīn feorh hafast,
1850a|þæt þe Sǣ‐Gēatas
1850b|sēlran næbben
1851a|tō gecēosenne
1851b|cyning ǣnigne,
1852a|hord‐weard hæleða,
1852b|gif þū healdan wylt
1853a|māga rīce.
1853b|Mē þīn mōd‐sefa
1854a|līcað leng swā wēl,
1854b|lēofa Bēowulf:
1855a|hafast þū gefēred,
1855b|þæt þām folcum sceal,
1856a|Gēata lēodum
1856b|and Gār‐Denum
1857a|sib gemǣnum
1857b|and sacu restan,
1858a|inwit‐nīðas,
1858b|þē hīe ǣr drugon;
1859a|wesan, þenden ic wealde
1859b|wīdan rīces,
1860a|māðmas gemǣne,
1860b|manig ōðerne
1861a|gōdum gegrētan
1861b|ofer ganotes bæð;
1862a|sceal hring‐naca
1862b|ofer hēaðu bringan
1863a|lāc and luf‐tācen.
1863b|Ic þā lēode wāt
1864a|gē wið fēond gē wið frēond
1864b|fæste geworhte
1865a|ǣghwæs untǣle
1865b|ealde wīsan."
1866a|Þā gīt him eorla hlēo
1866b|inne gesealde,
1867a|mago Healfdenes
1867b|māðmas twelfe,
1868a|hēt hine mid þǣm lācum
1868b|lēode swǣse
1869a|sēcean on gesyntum,
1869b|snūde eft cuman.
1870a|Gecyste þā
1870b|cyning æðelum gōd,
1871a|þēoden Scildinga,
1871b|þegen betstan
1872a|and be healse genam;
1872b|hruron him tēaras,
1873a|blonden‐feaxum:
1873b|him wæs bēga wēn,
1874a|ealdum infrōdum,
1874b|ōðres swīðor,
1875a|þæt hī seoððan
1875b|gesēon mōston
1876a|mōdige on meðle.
1876b|Wæs him se man tō þon lēof,
1877a|þæt hē þone brēost‐wylm
1877b|forberan ne mehte,
1878a|ac him on hreðre
1878b|hyge‐bendum fæst
1879a|æfter dēorum men
1879b|dyrne langað
1880a|beorn wið blōde.
1880b|Him Bēowulf þanan,
1881a|gūð‐rinc gold‐wlanc
1881b|græs‐moldan træd,
1882a|since hrēmig:
1882b|sǣ‐genga bād
1883a|āgend‐frēan,
1883b|sē þe on ancre rād.
1884a|Þā wæs on gange
1884b|gifu Hrōðgāres
1885a|oft geæhted:
1885b|þæt wæs ān cyning
1886a|ǣghwæs orleahtre,
1886b|oð þæt hine yldo benam
1887a|mægenes wynnum,
1887b|sē þe oft manegum scōd.
1888a|Cwōm þā tō flōde
1888b|fela‐mōdigra
1889a|hæg‐stealdra hēap;
1889b|hring‐net bǣron,
1890a|locene leoðo‐syrcan.
1890b|Land‐weard onfand
1891a|eft‐sīð eorla,
1891b|swā hē ǣr dyde;
1892a|nō hē mid hearme
1892b|of hlīðes nosan
1893a|gæstas grētte,
1893b|ac him tōgēanes rād;
1894a|cwæð þæt wilcuman
1894b|Wedera lēodum
1895a|scawan scīr‐hame
1895b|tō scipe fōron.
1896a|Þā wæs on sande
1896b|sǣ‐gēap naca
1897a|hladen here‐wǣdum,
1897b|hringed‐stefna
1898a|mēarum and māðmum:
1898b|mæst hlīfade
1899a|ofer Hrōðgāres
1899b|hord‐gestrēonum.
1900a|Hē þǣm bāt‐wearde
1900b|bunden golde
1901a|swurd gesealde,
1901b|þæt hē syððan wæs
1902a|on meodu‐bence
1902b|māðme þȳ weorðra,
1903a|yrfe‐lāfe.
1903b|Gewāt him on ȳð‐nacan,
1904a|drēfan dēop wæter,
1904b|Dena land ofgeaf.
1905a|Þā wæs be mæste
1905b|mere‐hrægla sum,
1906a|segl sāle fæst.
1906b|Sund‐wudu þunede,
1907a|nō þǣr wēg‐flotan
1907b|wind ofer ȳðum
1908a|sīðes getwǣfde;
1908b|sǣ‐genga fōr,
1909a|flēat fāmig‐heals
1909b|forð ofer ȳðe,
1910a|bunden‐stefna
1910b|ofer brim‐strēamas,
1911a|þæt hīe Gēata clifu
1911b|ongitan meahton,
1912a|cūðe næssas.
1912b|Cēol up geþrang,
1913a|lyft‐geswenced
1913b|on lande stōd.
1914a|Hraðe wæs æt holme
1914b|hȳð‐weard gearo,
1915a|sē þe ǣr lange tīd,
1915b|lēofra manna
1916a|fūs, æt faroðe
1916b|feor wlātode;
1917a|sǣlde tō sande
1917b|sīd‐fæðme scip
1918a|oncer‐bendum fæst,
1918b|þȳ lǣs hym ȳða þrym
1919a|wudu wynsuman
1919b|forwrecan meahte.
1920a|Hēt þā up beran
1920b|æðelinga gestrēon,
1921a|frætwe and fǣt‐gold;
1921b|næs him feor þanon
1922a|tō gesēcanne
1922b|sinces bryttan:
1923a|Higelāc Hrēðling
1923b|þǣr æt hām wunað,
1924a|selfa mid gesīðum
1924b|sǣ‐wealle nēah;
1925a|bold wæs betlīc,
1925b|brego‐rōf cyning,
1926a|hēa on healle,
1926b|Hygd swīðe geong,
1927a|wīs, wēl‐þungen,
1927b|þēah þe wintra lȳt
1928a|under burh‐locan
1928b|gebiden hæbbe
1929a|Hæreðes dōhtor:
1929b|næs hīo hnāh swā þēah,
1930a|nē tō gnēað gifa
1930b|Gēata lēodum,
1931a|māðm‐gestrēona.
1931b|Mod Þrȳðo wæg,
1932a|fremu folces cwēn,
1932b|firen ondrysne:
1933a|nǣnig þæt dorste
1933b|dēor genēðan
1934a|swǣsra gesīða,
1934b|nefne sin‐frēa,
1935a|þæt hire an dæges
1935b|ēagum starede;
1936a|ac him wæl‐bende
1936b|weotode tealde,
1937a|hand‐gewriðene:
1937b|hraðe seoððan wæs
1938a|æfter mund‐gripe
1938b|mēce geþinged,
1939a|þæt hit sceaðen‐mǣl
1939b|scȳran mōste,
1940a|cwealm‐bealu cȳðan.
1940b|Ne bið swylc cwēnlīc þēaw
1941a|idese tō efnanne,
1941b|þēah þe hīo ǣnlīcu sȳ,
1942a|þætte freoðu‐webbe
1942b|fēores onsæce
1943a|æfter līge‐torne
1943b|lēofne mannan.
1944a|Hūru þæt onhōhsnode
1944b|Heminges mǣg;
1945a|ealo drincende
1945b|ōðer sǣdan,
1946a|þæt hīo lēod‐bealewa
1946b|lǣs gefremede,
1947a|inwit‐nīða,
1947b|syððan ǣrest wearð
1948a|gyfen gold‐hroden
1948b|geongum cempan,
1949a|æðelum dīore,
1949b|syððan hīo Offan flet
1950a|ofer fealone flōd
1950b|be fæder lāre
1951a|sīðe gesōhte,
1951b|þǣr hīo syððan wēl
1952a|in gum‐stōle,
1952b|gōde mǣre,
1953a|līf‐gesceafta
1953b|lifigende brēac,
1954a|hīold hēah‐lufan
1954b|wið hæleða brego,
1955a|ealles mon‐cynnes
1955b|mīne gefrǣge
1956a|þone sēlestan
1956b|bī sǣm twēonum
1957a|eormen‐cynnes;
1957b|forþām Offa wæs
1958a|geofum and gūðum
1958b|gār‐cēne man,
1959a|wīde geweorðod;
1959b|wīsdōme hēold
1960a|ēðel sīnne,
1960b|þonon Ēomǣr wōc
1961a|hæleðum tō helpe,
1961b|Heminges mǣg,
1962a|nefa Gārmundes,
1962b|nīða cræftig.
1963a|Gewāt him þā se hearda
1963b|mid his hond‐scole
1964a|sylf æfter sande
1964b|sǣ‐wong tredan,
1965a|wīde waroðas.
1965b|Woruld‐candel scān,
1966a|sigel sūðan fūs:
1966b|hī sīð drugon,
1967a|elne geēodon,
1967b|tō þæs þe eorla hlēo,
1968a|bonan Ongenþēowes
1968b|burgum on innan,
1969a|geongne gūð‐cyning
1969b|gōdne gefrūnon
1970a|hringas dǣlan.
1970b|Higelāce wæs
1971a|sīð Bēowulfes
1971b|snūde gecȳðed,
1972a|þæt þǣr on worðig
1972b|wīgendra hlēo,
1973a|lind‐gestealla
1973b|lifigende cwōm,
1974a|heaðo‐lāces hāl
1974b|tō hofe gongan.
1975a|Hraðe wæs gerȳmed,
1975b|swā se rīca bebēad,
1976a|fēðe‐gestum
1976b|flet innan‐weard.
1977a|Gesæt þā wið sylfne,
1977b|sē þā sæcce genæs,
1978a|mǣg wið mǣge,
1978b|syððan man‐dryhten
1979a|þurh hlēoðor‐cwyde
1979b|holdne gegrētte
1980a|mēaglum wordum.
1980b|Meodu‐scencum
1981a|hwearf geond þæt reced
1981b|Hæreðes dōhtor:
1982a|lufode þā lēode,
1982b|līð‐wǣge bær
1983a|hǣlum tō handa.
1983b|Higelāc ongan
1984a|sīnne geseldan
1984b|in sele þām hēan
1985a|fægre fricgean,
1985b|hyne fyrwet bræc,
1986a|hwylce Sǣ‐Gēata
1986b|sīðas wǣron:
1987a|"Hū lomp ēow on lāde,
1987b|lēofa Bīowulf,
1988a|þā þū fǣringa
1988b|feorr gehogodest,
1989a|sæcce sēcean
1989b|ofer sealt wæter,
1990a|hilde tō Hiorote?
1990b|Ac þū Hrōðgāre
1991a|wīd‐cūðne wēan
1991b|wihte gebēttest,
1992a|mǣrum þēodne?
1992b|Ic þæs mōd‐ceare
1993a|sorh‐wylmum sēað,
1993b|sīðe ne truwode
1994a|lēofes mannes;
1994b|ic þē lange bæd,
1995a|þæt þū þone wæl‐gǣst
1995b|wihte ne grētte,
1996a|lēte Sūð‐Dene
1996b|sylfe geweorðan
1997a|gūðe wið Grendel.
1997b|Gode ic þanc secge,
1998a|þæs þe ic þē gesundne
1998b|gesēon mōste."
1999a|Bīowulf maðelode,
1999b|bearn Ecgþīowes:
2000a|"Þæt is undyrne,
2000b|dryhten Higelāc,
2001a|mǣre gemēting
2001b|monegum fīra,
2002a|hwylc orleg‐hwīl
2002b|uncer Grendles
2003a|wearð on þām wange,
2003b|þǣr hē worna fela
2004a|Sige‐Scildingum
2004b|sorge gefremede,
2005a|yrmðe tō aldre;
2005b|ic þæt eal gewræc,
2006a|swā ne gylpan þearf
2006b|Grendeles māga
2007a|ǣnig ofer eorðan
2007b|ūht‐hlem þone,
2008a|sē þe lengest leofað
2008b|lāðan cynnes,
2009a|fenne bifongen.
2009b|Ic þǣr furðum cwōm,
2010a|tō þām hring‐sele
2010b|Hrōðgār grētan:
2011a|sōna mē se mǣra
2011b|mago Healfdenes,
2012a|syððan hē mōd‐sefan
2012b|mīnne cūðe,
2013a|wið his sylfes sunu
2013b|setl getǣhte.
2014a|Weorod wæs on wynne;
2014b|ne seah ic wīdan feorh
2015a|under heofenes hwealf
2015b|heal‐sittendra
2016a|medu‐drēam māran.
2016b|Hwīlum mǣru cwēn,
2017a|friðu‐sibb folca
2017b|flet eall geond‐hwearf,
2018a|bǣdde byre geonge;
2018b|oft hīo bēah‐wriðan
2019a|secge sealde,
2019b|ǣr hīo tō setle gēong.
2020a|Hwīlum for duguðe
2020b|dōhtor Hrōðgāres
2021a|eorlum on ende
2021b|ealu‐wǣge bær,
2022a|þā ic Frēaware
2022b|flet‐sittende
2023a|nemnan hȳrde,
2023b|þǣr hīo nægled sinc
2024a|hæleðum sealde:
2024b|sīo gehāten wæs,
2025a|geong gold‐hroden,
2025b|gladum suna Frōdan;
2026a|hafað þæs geworden
2026b|wine Scyldinga
2027a|rīces hyrde
2027b|and þæt rǣd talað,
2028a|þæt hē mid þȳ wīfe
2028b|wæl‐fǣhða dǣl,
2029a|sæcca gesette.
2029b|Oft nō seldan hwǣr
2030a|æfter lēod‐hryre
2030b|lȳtle hwīle
2031a|bon‐gār būgeð,
2031b|þēah sēo brȳd duge!
2032a|"Mæg þæs þonne ofþyncan
2032b|þēoden Heaðobeardna
2033a|and þegna gehwām
2033b|þāra lēoda,
2034a|þonne hē mid fǣmnan
2034b|on flett gǣð,
2035a|dryht‐bearn Dena
2035b|duguða biwenede:
2036a|on him gladiað
2036b|gomelra lāfe
2037a|heard and hring‐mǣl,
2037b|Heaðobeardna gestrēon,
2038a|þenden hīe þām wǣpnum
2038b|wealdan mōston,
2039a|oð þæt hīe forlǣddan
2039b|tō þām lind‐plegan
2040a|swǣse gesīðas
2040b|ond hyra sylfra feorh.
2041a|Þonne cwið æt bēore,
2041b|sē þe bēah gesyhð,
2042a|eald æsc‐wiga,
2042b|sē þe eall geman
2043a|gār‐cwealm gumena
2043b|(him bið grim sefa),
2044a|onginneð geōmor‐mōd
2044b|geongne cempan
2045a|þurh hreðra gehygd
2045b|higes cunnian,
2046a|wīg‐bealu weccean
2046b|and þæt word ācwyð:
2047a|'Meaht þū, mīn wine,
2047b|mēce gecnāwan,
2048a|þone þin fæder
2048b|tō gefeohte bær
2049a|under here‐grīman
2049b|hindeman sīðe,
2050a|dȳre īren,
2050b|þǣr hyne Dene slōgon,
2051a|wēoldon wæl‐stōwe,
2051b|syððan wiðer‐gyld læg,
2052a|æfter hæleða hryre,
2052b|hwate Scyldungas?
2053a|Nu hēr þāra banena
2053b|byre nāt‐hwylces,
2054a|frætwum hrēmig
2054b|on flet gǣð,
2055a|morðres gylpeð
2055b|and þone māððum byreð,
2056a|þone þe þū mid rihte
2056b|rǣdan sceoldest!'
2057a|Manað swā and myndgað
2057b|mǣla gehwylce
2058a|sārum wordum,
2058b|oð þæt sǣl cymeð,
2059a|þæt se fǣmnan þegn
2059b|fore fæder dǣdum
2060a|æfter billes bite
2060b|blōd‐fāg swefeð,
2061a|ealdres scyldig;
2061b|him se ōðer þonan
2062a|losað lifigende,
2062b|con him land geare.
2063a|Þonne bīoð brocene
2063b|on bā healfe
2064a|āð‐sweord eorla;
2064b|syððan Ingelde
2065a|weallað wæl‐nīðas
2065b|and him wīf‐lufan
2066a|æfter cear‐wælmum
2066b|cōlran weorðað.
2067a|Þȳ ic Heaðobeardna
2067b|hyldo ne telge,
2068a|dryht‐sibbe dǣl
2068b|Denum unfǣcne,
2069a|frēond‐scipe fæstne.
2069b|Ic sceal forð sprecan
2070a|gēn ymbe Grendel,
2070b|þæt þū geare cunne,
2071a|sinces brytta,
2071b|tō hwan syððan wearð
2072a|hond‐rǣs hæleða.
2072b|Syððan heofones gim
2073a|glād ofer grundas,
2073b|gæst yrre cwōm,
2074a|eatol ǣfen‐grom,
2074b|ūser nēosan,
2075a|þǣr wē gesunde
2075b|sæl weardodon;
2076a|þǣr wæs Hondscīo
2076b|hild onsǣge,
2077a|feorh‐bealu fǣgum,
2077b|hē fyrmest læg,
2078a|gyrded cempa;
2078b|him Grendel wearð,
2079a|mǣrum magu‐þegne
2079b|tō mūð‐bonan,
2080a|lēofes mannes
2080b|līc eall forswealg.
2081a|Nō þȳ ǣr ūt þā gēn
2081b|īdel‐hende
2082a|bona blōdig‐tōð
2082b|bealewa gemyndig,
2083a|of þām gold‐sele
2083b|gongan wolde,
2084a|ac hē mægnes rōf
2084b|mīn costode,
2085a|grāpode gearo‐folm.
2085b|Glōf hangode
2086a|sīd and syllīc
2086b|searo‐bendum fæst,
2087a|sīo wæs orþoncum
2087b|eall gegyrwed
2088a|dēofles cræftum
2088b|and dracan fellum:
2089a|hē mec þǣr on innan
2089b|unsynnigne,
2090a|dīor dǣd‐fruma,
2090b|gedōn wolde,
2091a|manigra sumne:
2091b|hyt ne mihte swā,
2092a|syððan ic on yrre
2092b|upp‐riht āstōd.
2093a|Tō lang ys tō reccenne,
2093b|hū ic þām lēod‐sceaðan
2094a|yfla gehwylces
2094b|ond‐lēan forgeald;
2095a|þǣr ic, þēoden mīn,
2095b|þīne lēode
2096a|weorðode weorcum.
2096b|Hē on weg losade,
2097a|lȳtle hwīle
2097b|līf‐wynna brēac;
2098a|hwæðre him sīo swīðre
2098b|swaðe weardade
2099a|hand on Hiorte
2099b|and hē hēan þonan,
2100a|mōdes geōmor
2100b|mere‐grund gefēoll.
2101a|Mē þone wæl‐rǣs
2101b|wine Scildunga
2102a|fǣttan golde
2102b|fela lēanode,
2103a|manegum māðmum,
2103b|syððan mergen cōm
2104a|and wē tō symble
2104b|geseten hæfdon.
2105a|Þǣr wæs gidd and glēo;
2105b|gomela Scilding
2106a|fela fricgende
2106b|feorran rehte;
2107a|hwīlum hilde‐dēor
2107b|hearpan wynne,
2108a|gomen‐wudu grētte;
2108b|hwīlum gyd āwræc
2109a|sōð and sārlīc;
2109b|hwīlum syllīc spell
2110a|rehte æfter rihte
2110b|rūm‐heort cyning.
2111a|Hwīlum eft ongan
2111b|eldo gebunden,
2112a|gomel gūð‐wiga
2112b|gioguðe cwīðan
2113a|hilde‐strengo;
2113b|hreðer inne wēoll,
2114a|þonne hē wintrum frōd
2114b|worn gemunde.
2115a|Swā wē þǣr inne
2115b|andlangne dæg
2116a|nīode nāman,
2116b|oð þæt niht becwōm
2117a|ōðer tō yldum.
2117b|Þā wæs eft hraðe
2118a|gearo gyrn‐wræce
2118b|Grendeles mōdor,
2119a|sīðode sorh‐full;
2119b|sunu dēað fornam,
2120a|wīg‐hete Wedra.
2120b|Wīf unhȳre
2121a|hyre bearn gewræc,
2121b|beorn ācwealde
2122a|ellenlīce;
2122b|þǣr wæs Æsc‐here,
2123a|frōdan fyrn‐witan,
2123b|feorh ūðgenge;
2124a|nōðer hȳ hine ne mōston,
2124b|syððan mergen cwōm,
2125a|dēað‐wērigne
2125b|Denia lēode
2126a|bronde forbærnan,
2126b|nē on bǣl hladan
2127a|lēofne mannan:
2127b|hīo þæt līc ætbær
2128a|fēondes fæðmum
2128b|under firgen‐strēam.
2129a|Þæt wæs Hrōðgāre
2129b|hrēowa tornost
2130a|þāra þe lēod‐fruman
2130b|lange begeāte;
2131a|þā se þēoden mec
2131b|þīne līfe
2132a|healsode hrēoh‐mōd,
2132b|þæt ic on holma geþring
2133a|eorl‐scipe efnde,
2133b|ealdre genēðde,
2134a|mǣrðo fremede:
2134b|hē mē mēde gehēt.
2135a|Ic þā þæs wælmes,
2135b|þē is wīde cūð,
2136a|grimne gryrelīcne
2136b|grund‐hyrde fond.
2137a|Þǣr unc hwīle wæs
2137b|hand gemǣne;
2138a|holm heolfre wēoll
2138b|and ic hēafde becearf
2139a|in þām grund‐sele
2139b|Grendeles mōdor
2140a|ēacnum ecgum,
2140b|unsōfte þonan
2141a|feorh oðferede;
2141b|næs ic fǣge þā gȳt,
2142a|ac mē eorla hlēo
2142b|eft gesealde
2143a|māðma menigeo,
2143b|maga Healfdenes.
2144a|"Swā se þēod‐kyning
2144b|þēawum lyfde;
2145a|nealles ic þām lēanum
2145b|forloren hæfde,
2146a|mægnes mēde,
2146b|ac hē mē māðmas geaf,
2147a|sunu Healfdenes,
2147b|on sīnne sylfes dōm;
2148a|þā ic þē, beorn‐cyning,
2148b|bringan wylle,
2149a|ēstum geȳwan.
2149b|Gēn is eall æt þē
2150a|lissa gelong:
2150b|ic lȳt hafo
2151a|hēafod‐māga,
2151b|nefne Hygelāc þec!"
2152a|Hēt þā in beran
2152b|eafor, hēafod‐segn,
2153a|heaðo‐stēapne helm,
2153b|hāre byrnan,
2154a|gūð‐sweord geatolīc,
2154b|gyd æfter wræc:
2155a|"Mē þis hilde‐sceorp
2155b|Hrōðgār sealde,
2156a|snotra fengel,
2156b|sume worde hēt,
2157a|þæt ic his ǣrest
2157b|þē eft gesægde,
2158a|cwæð þæt hyt hæfde
2158b|Hiorogār cyning,
2159a|lēod Scyldunga
2159b|lange hwīle:
2160a|nō þȳ ǣr suna sīnum
2160b|syllan wolde,
2161a|hwatum Heorowearde,
2161b|þēah hē him hold wǣre,
2162a|brēost‐gewǣdu.
2162b|Brūc ealles well!"
2163a|Hȳrde ic þæt þām frætwum
2163b|fēower mēaras
2164a|lungre gelīce
2164b|lāst weardode,
2165a|æppel‐fealuwe;
2165b|hē him ēst getēah
2166a|mēara and māðma.
2166b|Swā sceal mǣg dōn,
2167a|nealles inwit‐net
2167b|ōðrum bregdan,
2168a|dyrnum cræfte
2168b|dēað rēnian
2169a|hond‐gesteallan.
2169b|Hygelāce wæs,
2170a|nīða heardum,
2170b|nefa swȳðe hold
2171a|and gehwæðer ōðrum
2171b|hrōðra gemyndig.
2172a|Hȳrde ic þæt hē þone heals‐bēah
2172b|Hygde gesealde,
2173a|wrǣtlīcne wundur‐māððum,
2173b|þone þe him Wealhþēo geaf,
2174a|þēodnes dōhtor,
2174b|þrīo wicg somod
2175a|swancor and sadol‐beorht;
2175b|hyre syððan wæs
2176a|æfter bēah‐þege
2176b|brēost geweorðod.
2177a|Swā bealdode
2177b|bearn Ecgþēowes,
2178a|guma gūðum cūð,
2178b|gōdum dǣdum,
2179a|drēah æfter dōme,
2179b|nealles druncne slōg
2180a|heorð‐genēatas;
2180b|næs him hrēoh sefa,
2181a|ac hē man‐cynnes
2181b|mǣste cræfte
2182a|gin‐fæstan gife,
2182b|þē him god sealde,
2183a|hēold hilde‐dēor.
2183b|Hēan wæs lange,
2184a|swā hyne Gēata bearn
2184b|gōdne ne tealdon,
2185a|nē hyne on medo‐bence
2185b|micles wyrðne
2186a|drihten wereda
2186b|gedōn wolde;
2187a|swȳðe oft sægdon,
2187b|þæt hē slēac wǣre,
2188a|æðeling unfrom:
2188b|edwenden cwōm
2189a|tīr‐ēadigum menn
2189b|torna gehwylces.
2190a|Hēt þā eorla hlēo
2190b|in gefetian,
2191a|heaðo‐rōf cyning,
2191b|Hrēðles lāfe,
2192a|golde gegyrede;
2192b|næs mid Gēatum þā
2193a|sinc‐māððum sēlra
2193b|on sweordes hād;
2194a|þæt hē on Bīowulfes
2194b|bearm ālegde,
2195a|and him gesealde
2195b|seofan þūsendo,
2196a|bold and brego‐stōl.
2196b|Him wæs bām samod
2197a|on þām lēod‐scipe
2197b|lond gecynde,
2198a|eard ēðel‐riht,
2198b|ōðrum swīðor
2199a|sīde rīce,
2199b|þām þǣr sēlra wæs.
2200a|Eft þæt geīode
2200b|ufaran dōgrum
2201a|hilde‐hlæmmum,
2201b|syððan Hygelāc læg
2202a|and Heardrēde
2202b|hilde‐mēceas
2203a|under bord‐hrēoðan
2203b|tō bonan wurdon,
2204a|þā hyne gesōhtan
2204b|on sige‐þēode
2205a|hearde hilde‐frecan,
2205b|Heaðo‐Scilfingas,
2206a|nīða genǣgdan
2206b|nefan Hererīces.
2207a|Syððan Bēowulfe
2207b|brāde rīce
2208a|on hand gehwearf:
2208b|hē gehēold tela
2209a|fīftig wintru
2209b|(wæs þā frōd cyning,
2210a|eald ēðel‐weard),
2210b|oð þæt ān ongan
2211a|deorcum nihtum
2211b|draca rīcsian,
2212a|sē þe on hēare hǣðe
2212b|hord beweotode,
2213a|stān‐beorh stēapne:
2213b|stīg under læg,
2214a|eldum uncūð.
2214b|Þǣr on innan gīong
2215a|niða nāt‐hwylces
2215b|nēode gefēng
2216a|hǣðnum horde
2216b|hond . d . . geþ . . hwylc
2217a|since fāhne,
2217b|hē þæt syððan . . . . .
2218a|. . . þ . . . lð
2218b|. þ . . l . g
2219a|slǣpende be fȳre,
2219b|fyrena hyrde
2220a|þēofes cræfte,
2220b|þæt sie . . . . ðioð . . . . .
2221a|. idh . folc‐beorn,
2221b|þæt hē gebolgen wæs.
2222a|Nealles mid geweoldum
2222b|wyrm‐horda . . . cræft
2223a|sōhte sylfes willum,
2223b|sē þe him sāre gesceōd,
2224a|ac for þrēa‐nēdlan
2224b|þēow nāt‐hwylces
2225a|hæleða bearna
2225b|hete‐swengeas flēah,
2226a|for ofer‐þearfe
2226b|and þǣr inne fealh
2227a|secg syn‐bysig.
2227b|Sōna in þā tīde
2228a|þæt . . . . . þām gyste
2228b|. . . . br . g . stōd,
2229a|hwæðre earm‐sceapen
2229b|. . . . . . .
2230a|. . ð . . . sceapen o . . . .
2230b|i r . . e se fǣs begeat,
2231a|sinc‐fæt geseah:
2231b|þǣr wæs swylcra fela
2232a|in þām eorð‐scræfe
2232b|ǣr‐gestrēona,
2233a|swā hȳ on geār‐dagum
2233b|gumena nāt‐hwylc
2234a|eormen‐lāfe
2234b|æðelan cynnes
2235a|þanc‐hycgende
2235b|þǣr gehȳdde,
2236a|dēore māðmas.
2236b|Ealle hīe dēað fornam
2237a|ǣrran mǣlum,
2237b|and se ān þā gēn
2238a|lēoda duguðe,
2238b|sē þǣr lengest hwearf,
2239a|weard wine‐geōmor
2239b|wīscte þæs yldan,
2240a|þæt hē lȳtel fæc
2240b|long‐gestrēona
2241a|brūcan mōste.
2241b|Beorh eal gearo
2242a|wunode on wonge
2242b|wæter‐ȳðum nēah,
2243a|nīwe be næsse
2243b|nearo‐cræftum fæst:
2244a|þǣr on innan bær
2244b|eorl‐gestrēona
2245a|hringa hyrde
2245b|hard‐fyrdne dǣl
2246a|fǣttan goldes,
2246b|fēa worda cwæð:
2247a|"Heald þū nū, hrūse,
2247b|nū hæleð ne mōston,
2248a|eorla ǣhte.
2248b|Hwæt! hit ǣr on þē
2249a|gōde begeāton;
2249b|gūð‐dēað fornam,
2250a|feorh‐bealo frēcne
2250b|fȳra gehwylcne,
2251a|lēoda mīnra,
2251b|þāra þe þis līf ofgeaf,
2252a|gesāwon sele‐drēam.
2252b|Nāh hwā sweord wege
2253a|oððe fetige
2253b|fǣted wǣge,
2254a|drync‐fæt dēore:
2254b|duguð ellor scōc.
2255a|Sceal se hearda helm
2255b|hyrsted golde
2256a|fǣtum befeallen:
2256b|feormiend swefað,
2257a|þā þe beado‐grīman
2257b|bȳwan sceoldon,
2258a|gē swylce sēo here‐pād,
2258b|sīo æt hilde gebād
2259a|ofer borda gebræc
2259b|bite īrena,
2260a|brosnað æfter beorne.
2260b|Ne mæg byrnan hring
2261a|æfter wīg‐fruman
2261b|wīde fēran
2262a|hæleðum be healfe;
2262b|næs hearpan wyn,
2263a|gomen glēo‐bēames,
2263b|nē gōd hafoc
2264a|geond sæl swingeð,
2264b|nē se swifta mearh
2265a|burh‐stede bēateð.
2265b|Bealo‐cwealm hafað
2266a|fela feorh‐cynna
2266b|feorr onsended!"
2267a|Swā giōmor‐mōd
2267b|giohðo mǣnde,
2268a|ān æfter eallum
2268b|unblīðe hwēop,
2269a|dæges and nihtes,
2269b|oð þæt dēaðes wylm
2270a|hrān æt heortan.
2270b|Hord‐wynne fond
2271a|eald ūht‐sceaða
2271b|opene standan,
2272a|sē þe byrnende
2272b|biorgas sēceð
2273a|nacod nīð‐draca,
2273b|nihtes flēogeð
2274a|fȳre befangen;
2274b|hyne fold‐būend
2275a|wīde gesāwon.
2275b|Hē gēwunian sceall
